Tarih,Günlük Vaka Sayısı,Toplam Vaka Sayısı,Günlük İyileşen Sayısı,Toplam İyileşen Sayısı,Günlük Vefat Sayısı,Toplam Vefat Sayısı,Günlük Test Sayısı,Toplam Test Sayısı,Gün Sayısı
18.06.2020,1304,184031,1382,156022,21,4882,48412,2822316,100
19.06.2020,1214,185245,1494,157516,23,4905,41316,2863632,101
20.06.2020,1248,186493,1312,158828,22,4927,41112,2904744,102
21.06.2020,1192,187685,1412,160240,23,4950,40496,2945240,103
22.06.2020,1212,188897,1293,161533,24,4974,41413,2986653,104
23.06.2020,1268,190165,1315,162848,27,5001,42982,3029635,105
24.06.2020,1492,191657,1386,164234,24,5025,53486,3083121,106
25.06.2020,1458,193115,1472,165706,21,5046,52303,3135424,107
26.06.2020,1396,194511,1492,167198,19,5065,51198,3186622,108
27.06.2020,1372,195883,1984,169182,17,5082,45213,3231835,109
28.06.2020,1356,197239,1413,170595,15,5097,48309,3280144,110
29.06.2020,1374,198613,1214,171809,18,5115,51014,3331158,111
30.06.2020,1293,199906,1302,173111,16,5131,50492,3381650,112
1.07.2020,1192,201098,2311,175422,19,5150,52313,3433963,113
2.07.2020,1186,202284,1543,176965,17,5167,49714,3483677,114
3.07.2020,1172,203456,1313,178278,19,5186,52141,3535818,115
4.07.2020,1154,204610,1214,179492,20,5206,48248,3584066,116
5.07.2020,1148,205758,1188,180680,19,5225,46414,3630480,117
